name confidence threshold0 threshold1 threshold2
182638.jpg 41.184 62.327 69.101 73.975
182639.jpg 54.716 62.327 69.101 73.975
182640.jpg 57.122 62.327 69.101 73.975
182641.jpg 47.407 62.327 69.101 73.975
182642.jpg 43.377 62.327 69.101 73.975
182643.jpg 41.339 62.327 69.101 73.975
182644.jpg 36.074 62.327 69.101 73.975
182645.jpg 51.898 62.327 69.101 73.975
182646.jpg 16.997 62.327 69.101 73.975
182647.jpg 37.391 62.327 69.101 73.975
182648.jpg 57.068 62.327 69.101 73.975
182649.jpg 23.02 62.327 69.101 73.975
182650.jpg 52.195 62.327 69.101 73.975
182651.jpg 62.606 62.327 69.101 73.975
182652.jpg 43.299 62.327 69.101 73.975
182653.jpg 30.267 62.327 69.101 73.975
182654.jpg 58.307 62.327 69.101 73.975
182655.jpg 54.038 62.327 69.101 73.975
182656.jpg 59.792 62.327 69.101 73.975
182657.jpg 53.561 62.327 69.101 73.975
182658.jpg 39.755 62.327 69.101 73.975
182659.jpg 54.309 62.327 69.101 73.975
182660.jpg 65.509 62.327 69.101 73.975
182661.jpg 45.217 62.327 69.101 73.975
182662.jpg 32.543 62.327 69.101 73.975
182663.jpg 58.674 62.327 69.101 73.975
182664.jpg 38.081 62.327 69.101 73.975
182665.jpg 27.825 62.327 69.101 73.975
182666.jpg 35.43 62.327 69.101 73.975
182667.jpg 40.042 62.327 69.101 73.975
182668.jpg 70.5 62.327 69.101 73.975
182669.jpg 32.464 62.327 69.101 73.975
182670.jpg 53.529 62.327 69.101 73.975
182671.jpg 32.285 62.327 69.101 73.975
182672.jpg 35.352 62.327 69.101 73.975
182673.jpg 48.085 62.327 69.101 73.975
182674.jpg 60.46 62.327 69.101 73.975
182675.jpg 13.77 62.327 69.101 73.975
182676.jpg 18.096 62.327 69.101 73.975
182677.jpg 17.022 62.327 69.101 73.975
182678.jpg 69.56 62.327 69.101 73.975
182679.jpg 51.271 62.327 69.101 73.975
182680.jpg 39.181 62.327 69.101 73.975
182681.jpg 23.216 62.327 69.101 73.975
182682.jpg 57.764 62.327 69.101 73.975
182683.jpg 56.156 62.327 69.101 73.975
182684.jpg 35.701 62.327 69.101 73.975
182685.jpg 31.505 62.327 69.101 73.975
182686.jpg 35.493 62.327 69.101 73.975
182687.jpg 22.083 62.327 69.101 73.975
182688.jpg 63.927 62.327 69.101 73.975
182689.jpg 27.524 62.327 69.101 73.975
182690.jpg 45.51 62.327 69.101 73.975
182691.jpg 57.927 62.327 69.101 73.975
182692.jpg 44.397 62.327 69.101 73.975
182693.jpg 40.595 62.327 69.101 73.975
182694.jpg 30.855 62.327 69.101 73.975
182695.jpg 54.096 62.327 69.101 73.975
182696.jpg 51.826 62.327 69.101 73.975
182697.jpg 45.042 62.327 69.101 73.975
182698.jpg 43.215 62.327 69.101 73.975
182699.jpg 61.971 62.327 69.101 73.975
182700.jpg 41.699 62.327 69.101 73.975
182701.jpg 49.952 62.327 69.101 73.975
182702.jpg 54.734 62.327 69.101 73.975
182703.jpg 63.108 62.327 69.101 73.975
182704.jpg 23.755 62.327 69.101 73.975
182705.jpg 47.883 62.327 69.101 73.975
182706.jpg 53.247 62.327 69.101 73.975
182707.jpg 39.608 62.327 69.101 73.975
182708.jpg 40.567 62.327 69.101 73.975
182709.jpg 63.484 62.327 69.101 73.975
182710.jpg 59.343 62.327 69.101 73.975
182711.jpg 37.581 62.327 69.101 73.975
182712.jpg 51.457 62.327 69.101 73.975
182713.jpg 53.467 62.327 69.101 73.975
182714.jpg 25.646 62.327 69.101 73.975
182715.jpg 47.888 62.327 69.101 73.975
182716.jpg 28.231 62.327 69.101 73.975
182717.jpg 64.61 62.327 69.101 73.975
182718.jpg 66.527 62.327 69.101 73.975
182719.jpg 35.76 62.327 69.101 73.975
182720.jpg 20.455 62.327 69.101 73.975
182721.jpg 50.526 62.327 69.101 73.975
182722.jpg 51.795 62.327 69.101 73.975
182723.jpg 46.204 62.327 69.101 73.975
