name confidence threshold0 threshold1 threshold2
182638.jpg -2 -99 -99 -99
182639.jpg 49.302 62.327 69.101 73.975
182640.jpg 59.879 62.327 69.101 73.975
182641.jpg 53.234 62.327 69.101 73.975
182642.jpg 33.311 62.327 69.101 73.975
182643.jpg 36.536 62.327 69.101 73.975
182644.jpg 44.873 62.327 69.101 73.975
182645.jpg 48.04 62.327 69.101 73.975
182646.jpg 30.598 62.327 69.101 73.975
182647.jpg 50.948 62.327 69.101 73.975
182648.jpg 62.181 62.327 69.101 73.975
182649.jpg 30.624 62.327 69.101 73.975
182650.jpg 41.571 62.327 69.101 73.975
182651.jpg 58.439 62.327 69.101 73.975
182652.jpg 45.214 62.327 69.101 73.975
182653.jpg 66.041 62.327 69.101 73.975
182654.jpg 63.89 62.327 69.101 73.975
182655.jpg 45.369 62.327 69.101 73.975
182656.jpg 43.164 62.327 69.101 73.975
182657.jpg 54.349 62.327 69.101 73.975
182658.jpg 17.745 62.327 69.101 73.975
182659.jpg 40.453 62.327 69.101 73.975
182660.jpg 44.525 62.327 69.101 73.975
182661.jpg 57.095 62.327 69.101 73.975
182662.jpg 33.553 62.327 69.101 73.975
182663.jpg 67.467 62.327 69.101 73.975
182664.jpg 56.176 62.327 69.101 73.975
182665.jpg 50.811 62.327 69.101 73.975
182666.jpg 25.587 62.327 69.101 73.975
182667.jpg 43.346 62.327 69.101 73.975
182668.jpg 72.763 62.327 69.101 73.975
182669.jpg 61.783 62.327 69.101 73.975
182670.jpg 61.33 62.327 69.101 73.975
182671.jpg 22.732 62.327 69.101 73.975
182672.jpg 31.881 62.327 69.101 73.975
182673.jpg 43.963 62.327 69.101 73.975
182674.jpg 22.237 62.327 69.101 73.975
182675.jpg 15.402 62.327 69.101 73.975
182676.jpg 47.306 62.327 69.101 73.975
182677.jpg 31.113 62.327 69.101 73.975
182678.jpg 62.41 62.327 69.101 73.975
182679.jpg 54.89 62.327 69.101 73.975
182680.jpg 39.021 62.327 69.101 73.975
182681.jpg 50.836 62.327 69.101 73.975
182682.jpg 40.833 62.327 69.101 73.975
182683.jpg 42.019 62.327 69.101 73.975
182684.jpg 43.431 62.327 69.101 73.975
182685.jpg 32.412 62.327 69.101 73.975
182686.jpg 58.226 62.327 69.101 73.975
182687.jpg 25.01 62.327 69.101 73.975
182688.jpg 52.947 62.327 69.101 73.975
182689.jpg 16.09 62.327 69.101 73.975
182690.jpg 61.506 62.327 69.101 73.975
182691.jpg 61.706 62.327 69.101 73.975
182692.jpg 43.477 62.327 69.101 73.975
182693.jpg 54.342 62.327 69.101 73.975
182694.jpg 49.292 62.327 69.101 73.975
182695.jpg 42.111 62.327 69.101 73.975
182696.jpg 73.2 62.327 69.101 73.975
182697.jpg 51.789 62.327 69.101 73.975
182698.jpg 36.143 62.327 69.101 73.975
182699.jpg 70.868 62.327 69.101 73.975
182700.jpg 50.458 62.327 69.101 73.975
182701.jpg 59.689 62.327 69.101 73.975
182702.jpg 60.433 62.327 69.101 73.975
182703.jpg 43.761 62.327 69.101 73.975
182704.jpg 44.067 62.327 69.101 73.975
182705.jpg 43.153 62.327 69.101 73.975
182706.jpg 47.205 62.327 69.101 73.975
182707.jpg 34.619 62.327 69.101 73.975
182708.jpg 42.373 62.327 69.101 73.975
182709.jpg 59.857 62.327 69.101 73.975
182710.jpg 65.642 62.327 69.101 73.975
182711.jpg 31.472 62.327 69.101 73.975
182712.jpg 70.819 62.327 69.101 73.975
182713.jpg 45.222 62.327 69.101 73.975
182714.jpg 40.652 62.327 69.101 73.975
182715.jpg 36.075 62.327 69.101 73.975
182716.jpg 41.617 62.327 69.101 73.975
182717.jpg 46.904 62.327 69.101 73.975
