name confidence threshold0 threshold1 threshold2
182638.jpg 43.632 62.327 69.101 73.975
182639.jpg 45.269 62.327 69.101 73.975
182640.jpg 45.872 62.327 69.101 73.975
182641.jpg 57.7 62.327 69.101 73.975
182642.jpg 54.001 62.327 69.101 73.975
182643.jpg 29.194 62.327 69.101 73.975
182644.jpg 38.708 62.327 69.101 73.975
182645.jpg 47.757 62.327 69.101 73.975
182646.jpg 24.6 62.327 69.101 73.975
182647.jpg 27.621 62.327 69.101 73.975
182648.jpg -2 -99 -99 -99
182649.jpg 23.454 62.327 69.101 73.975
182650.jpg 47.068 62.327 69.101 73.975
182651.jpg 44.557 62.327 69.101 73.975
182652.jpg 42.937 62.327 69.101 73.975
182653.jpg 33.219 62.327 69.101 73.975
182654.jpg 58.083 62.327 69.101 73.975
182655.jpg 48.619 62.327 69.101 73.975
182656.jpg 71.094 62.327 69.101 73.975
182657.jpg 47.673 62.327 69.101 73.975
182658.jpg 58.273 62.327 69.101 73.975
182659.jpg 41.452 62.327 69.101 73.975
182660.jpg 54.464 62.327 69.101 73.975
182661.jpg 47.132 62.327 69.101 73.975
182662.jpg 41.131 62.327 69.101 73.975
182663.jpg 54.277 62.327 69.101 73.975
182664.jpg 32.762 62.327 69.101 73.975
182665.jpg 31.007 62.327 69.101 73.975
182666.jpg 32.916 62.327 69.101 73.975
182667.jpg 49.505 62.327 69.101 73.975
182668.jpg 62.881 62.327 69.101 73.975
182669.jpg 24.408 62.327 69.101 73.975
182670.jpg 50.681 62.327 69.101 73.975
182671.jpg 34.124 62.327 69.101 73.975
182672.jpg 32.799 62.327 69.101 73.975
182673.jpg 42.512 62.327 69.101 73.975
182674.jpg 49.323 62.327 69.101 73.975
182675.jpg 17.269 62.327 69.101 73.975
182676.jpg 16.407 62.327 69.101 73.975
182677.jpg 39.438 62.327 69.101 73.975
182678.jpg 64.644 62.327 69.101 73.975
182679.jpg 52.649 62.327 69.101 73.975
182680.jpg 35.48 62.327 69.101 73.975
182681.jpg 22.374 62.327 69.101 73.975
182682.jpg 49.22 62.327 69.101 73.975
182683.jpg 40.748 62.327 69.101 73.975
182684.jpg 32.86 62.327 69.101 73.975
182685.jpg 27.01 62.327 69.101 73.975
182686.jpg 37.631 62.327 69.101 73.975
182687.jpg 23.119 62.327 69.101 73.975
182688.jpg 52.294 62.327 69.101 73.975
182689.jpg 29.228 62.327 69.101 73.975
182690.jpg 45.854 62.327 69.101 73.975
182691.jpg 68.607 62.327 69.101 73.975
182692.jpg 44.986 62.327 69.101 73.975
182693.jpg 39.188 62.327 69.101 73.975
182694.jpg 34.04 62.327 69.101 73.975
182695.jpg 72.902 62.327 69.101 73.975
182696.jpg 49.303 62.327 69.101 73.975
182697.jpg 43.39 62.327 69.101 73.975
182698.jpg 53.872 62.327 69.101 73.975
182699.jpg 61.346 62.327 69.101 73.975
182700.jpg 42.106 62.327 69.101 73.975
182701.jpg 41.119 62.327 69.101 73.975
182702.jpg 42.779 62.327 69.101 73.975
182703.jpg 57.78 62.327 69.101 73.975
182704.jpg 34.002 62.327 69.101 73.975
182705.jpg 59.138 62.327 69.101 73.975
182706.jpg 38.858 62.327 69.101 73.975
182707.jpg 40.315 62.327 69.101 73.975
182708.jpg 40.145 62.327 69.101 73.975
182709.jpg 56.461 62.327 69.101 73.975
182710.jpg 59.904 62.327 69.101 73.975
182711.jpg 24.975 62.327 69.101 73.975
182712.jpg 45.208 62.327 69.101 73.975
182713.jpg 50.379 62.327 69.101 73.975
182714.jpg 38.415 62.327 69.101 73.975
182715.jpg 28.805 62.327 69.101 73.975
182716.jpg 41.512 62.327 69.101 73.975
182717.jpg 58.951 62.327 69.101 73.975
182718.jpg 61.932 62.327 69.101 73.975
182719.jpg 31.89 62.327 69.101 73.975
182720.jpg 36.119 62.327 69.101 73.975
182721.jpg 31.66 62.327 69.101 73.975
182722.jpg 59.29 62.327 69.101 73.975
182723.jpg 39.291 62.327 69.101 73.975
182724.jpg 47.481 62.327 69.101 73.975
182725.jpg 51.893 62.327 69.101 73.975
182726.jpg 32.53 62.327 69.101 73.975
182727.jpg 23.273 62.327 69.101 73.975
182728.jpg 34.092 62.327 69.101 73.975
182729.jpg 30.152 62.327 69.101 73.975
182730.jpg 51.431 62.327 69.101 73.975
182731.jpg 32.815 62.327 69.101 73.975
182732.jpg 52.011 62.327 69.101 73.975
182733.jpg 32.377 62.327 69.101 73.975
182734.jpg 41.838 62.327 69.101 73.975
182735.jpg 21.272 62.327 69.101 73.975
182736.jpg 64.109 62.327 69.101 73.975
182737.jpg 34.213 62.327 69.101 73.975
182738.jpg 39.037 62.327 69.101 73.975
182739.jpg 45.387 62.327 69.101 73.975
182740.jpg 67.047 62.327 69.101 73.975
182741.jpg 43.343 62.327 69.101 73.975
182742.jpg 39.135 62.327 69.101 73.975
182743.jpg 34.956 62.327 69.101 73.975
182744.jpg 33.406 62.327 69.101 73.975
182745.jpg 17.377 62.327 69.101 73.975
182746.jpg 44.405 62.327 69.101 73.975
182747.jpg 46.479 62.327 69.101 73.975
182748.jpg 22.613 62.327 69.101 73.975
182749.jpg 31.28 62.327 69.101 73.975
182750.jpg 53.204 62.327 69.101 73.975
182751.jpg 47.926 62.327 69.101 73.975
182752.jpg 48.23 62.327 69.101 73.975
182753.jpg 45.512 62.327 69.101 73.975
182754.jpg 64.414 62.327 69.101 73.975
182755.jpg 48.773 62.327 69.101 73.975
182756.jpg 42.168 62.327 69.101 73.975
182757.jpg 58.522 62.327 69.101 73.975
182758.jpg 43.018 62.327 69.101 73.975
182759.jpg -2 -99 -99 -99
182760.jpg 59.422 62.327 69.101 73.975
182761.jpg 45.464 62.327 69.101 73.975
182762.jpg 42.153 62.327 69.101 73.975
182763.jpg 49.079 62.327 69.101 73.975
182764.jpg 47.328 62.327 69.101 73.975
182765.jpg 51.357 62.327 69.101 73.975
182766.jpg 25.744 62.327 69.101 73.975
182767.jpg 60.928 62.327 69.101 73.975
182768.jpg 40.69 62.327 69.101 73.975
182769.jpg 59.128 62.327 69.101 73.975
182770.jpg -2 -99 -99 -99
182771.jpg 44.994 62.327 69.101 73.975
182772.jpg 31.454 62.327 69.101 73.975
182773.jpg 34.929 62.327 69.101 73.975
182774.jpg 60.331 62.327 69.101 73.975
182775.jpg 33.055 62.327 69.101 73.975
182776.jpg 33.539 62.327 69.101 73.975
182777.jpg 43.418 62.327 69.101 73.975
182778.jpg 60.236 62.327 69.101 73.975
182779.jpg 38.755 62.327 69.101 73.975
182780.jpg 23.546 62.327 69.101 73.975
182781.jpg 46.737 62.327 69.101 73.975
182782.jpg 34.496 62.327 69.101 73.975
182783.jpg 47.379 62.327 69.101 73.975
182784.jpg 45.442 62.327 69.101 73.975
182785.jpg 44.761 62.327 69.101 73.975
182786.jpg 23.678 62.327 69.101 73.975
182787.jpg 29.487 62.327 69.101 73.975
182788.jpg 24.02 62.327 69.101 73.975
182789.jpg 51.642 62.327 69.101 73.975
182790.jpg 31.81 62.327 69.101 73.975
182791.jpg 33.193 62.327 69.101 73.975
182792.jpg 66.094 62.327 69.101 73.975
182793.jpg 48.471 62.327 69.101 73.975
182794.jpg 45.557 62.327 69.101 73.975
182795.jpg 49.52 62.327 69.101 73.975
182796.jpg 51.714 62.327 69.101 73.975
182797.jpg 32.374 62.327 69.101 73.975
182798.jpg 61.727 62.327 69.101 73.975
182799.jpg 27.938 62.327 69.101 73.975
182800.jpg 22.571 62.327 69.101 73.975
182801.jpg 21.962 62.327 69.101 73.975
182802.jpg 40.082 62.327 69.101 73.975
182803.jpg 51.348 62.327 69.101 73.975
182804.jpg 56.905 62.327 69.101 73.975
182805.jpg 40.961 62.327 69.101 73.975
182806.jpg 29.278 62.327 69.101 73.975
182807.jpg 39.227 62.327 69.101 73.975
182808.jpg 28.529 62.327 69.101 73.975
182809.jpg 58.128 62.327 69.101 73.975
182810.jpg 41.649 62.327 69.101 73.975
182811.jpg 32.379 62.327 69.101 73.975
182812.jpg 63.057 62.327 69.101 73.975
182813.jpg 47.273 62.327 69.101 73.975
182814.jpg 53.741 62.327 69.101 73.975
182815.jpg 49.732 62.327 69.101 73.975
182816.jpg 55.607 62.327 69.101 73.975
182817.jpg 37.252 62.327 69.101 73.975
182818.jpg 68.329 62.327 69.101 73.975
182819.jpg 41.821 62.327 69.101 73.975
182820.jpg 36.423 62.327 69.101 73.975
182821.jpg 63.906 62.327 69.101 73.975
182822.jpg 48.157 62.327 69.101 73.975
182823.jpg 47.652 62.327 69.101 73.975
182824.jpg 37.95 62.327 69.101 73.975
182825.jpg 51.705 62.327 69.101 73.975
182826.jpg 43.346 62.327 69.101 73.975
182827.jpg 46.404 62.327 69.101 73.975
182828.jpg 25.028 62.327 69.101 73.975
182829.jpg 30.361 62.327 69.101 73.975
182830.jpg 31.047 62.327 69.101 73.975
182831.jpg 35.611 62.327 69.101 73.975
182832.jpg 37.397 62.327 69.101 73.975
182833.jpg 43.893 62.327 69.101 73.975
182834.jpg 41.34 62.327 69.101 73.975
182835.jpg 54.82 62.327 69.101 73.975
182836.jpg 47.895 62.327 69.101 73.975
182837.jpg 56.671 62.327 69.101 73.975
182838.jpg 39.258 62.327 69.101 73.975
182839.jpg 51.263 62.327 69.101 73.975
182840.jpg 24.695 62.327 69.101 73.975
182841.jpg 51.202 62.327 69.101 73.975
182842.jpg 60.67 62.327 69.101 73.975
