name confidence threshold0 threshold1 threshold2
182638.jpg 55.463 62.327 69.101 73.975
182639.jpg 67.794 62.327 69.101 73.975
182640.jpg 56.005 62.327 69.101 73.975
182641.jpg 62.322 62.327 69.101 73.975
182642.jpg 35.337 62.327 69.101 73.975
182643.jpg 35.335 62.327 69.101 73.975
182644.jpg 59.437 62.327 69.101 73.975
182645.jpg 73.696 62.327 69.101 73.975
182646.jpg 56.946 62.327 69.101 73.975
182647.jpg 65.216 62.327 69.101 73.975
182648.jpg -2 -99 -99 -99
182649.jpg 45.24 62.327 69.101 73.975
182650.jpg 57.929 62.327 69.101 73.975
182651.jpg 65.588 62.327 69.101 73.975
182652.jpg 59.93 62.327 69.101 73.975
182653.jpg 51.305 62.327 69.101 73.975
182654.jpg 60.753 62.327 69.101 73.975
182655.jpg 67.437 62.327 69.101 73.975
182656.jpg 57.176 62.327 69.101 73.975
182657.jpg 60.257 62.327 69.101 73.975
182658.jpg 70.044 62.327 69.101 73.975
182659.jpg 50.218 62.327 69.101 73.975
182660.jpg 63.941 62.327 69.101 73.975
182661.jpg 59.139 62.327 69.101 73.975
182662.jpg 42.788 62.327 69.101 73.975
182663.jpg 64.477 62.327 69.101 73.975
182664.jpg 55.872 62.327 69.101 73.975
182665.jpg 63.607 62.327 69.101 73.975
182666.jpg 55.938 62.327 69.101 73.975
182667.jpg 61.173 62.327 69.101 73.975
182668.jpg 71.668 62.327 69.101 73.975
182669.jpg 57.331 62.327 69.101 73.975
182670.jpg 70.558 62.327 69.101 73.975
182671.jpg 52.491 62.327 69.101 73.975
182672.jpg 73.657 62.327 69.101 73.975
182673.jpg 75.077 62.327 69.101 73.975
182674.jpg 60.395 62.327 69.101 73.975
182675.jpg 41.528 62.327 69.101 73.975
182676.jpg 54.092 62.327 69.101 73.975
182677.jpg 39.827 62.327 69.101 73.975
182678.jpg 74.016 62.327 69.101 73.975
182679.jpg 73.201 62.327 69.101 73.975
182680.jpg 61.385 62.327 69.101 73.975
182681.jpg 47.682 62.327 69.101 73.975
182682.jpg 68.763 62.327 69.101 73.975
182683.jpg 63.172 62.327 69.101 73.975
182684.jpg 57.442 62.327 69.101 73.975
182685.jpg 56.443 62.327 69.101 73.975
182686.jpg 70.215 62.327 69.101 73.975
182687.jpg 59.364 62.327 69.101 73.975
182688.jpg 72.792 62.327 69.101 73.975
182689.jpg 42.835 62.327 69.101 73.975
182690.jpg 72.861 62.327 69.101 73.975
182691.jpg 48.476 62.327 69.101 73.975
182692.jpg 72.145 62.327 69.101 73.975
182693.jpg 51.149 62.327 69.101 73.975
182694.jpg 65.948 62.327 69.101 73.975
182695.jpg 71.93 62.327 69.101 73.975
182696.jpg 46.152 62.327 69.101 73.975
182697.jpg 56.772 62.327 69.101 73.975
182698.jpg 33.504 62.327 69.101 73.975
182699.jpg 76.864 62.327 69.101 73.975
182700.jpg 32.698 62.327 69.101 73.975
182701.jpg 73.265 62.327 69.101 73.975
182702.jpg 51.083 62.327 69.101 73.975
182703.jpg 63.366 62.327 69.101 73.975
182704.jpg 56.341 62.327 69.101 73.975
182705.jpg 77.899 62.327 69.101 73.975
182706.jpg 67.69 62.327 69.101 73.975
182707.jpg 50.132 62.327 69.101 73.975
182708.jpg 59.472 62.327 69.101 73.975
182709.jpg 55.646 62.327 69.101 73.975
182710.jpg 74.249 62.327 69.101 73.975
182711.jpg 64.554 62.327 69.101 73.975
182712.jpg 54.467 62.327 69.101 73.975
182713.jpg 62.809 62.327 69.101 73.975
182714.jpg 49.302 62.327 69.101 73.975
182715.jpg 47.73 62.327 69.101 73.975
182716.jpg 46.552 62.327 69.101 73.975
182717.jpg 73.168 62.327 69.101 73.975
182718.jpg 47.554 62.327 69.101 73.975
182719.jpg 44.885 62.327 69.101 73.975
182720.jpg 70.538 62.327 69.101 73.975
182721.jpg 76.21 62.327 69.101 73.975
182722.jpg 60.686 62.327 69.101 73.975
182723.jpg 37.46 62.327 69.101 73.975
182724.jpg 73.43 62.327 69.101 73.975
182725.jpg 42.113 62.327 69.101 73.975
182726.jpg 49.459 62.327 69.101 73.975
182727.jpg 51.785 62.327 69.101 73.975
182728.jpg 78.346 62.327 69.101 73.975
182729.jpg 63.462 62.327 69.101 73.975
182730.jpg -2 -99 -99 -99
182731.jpg 58.6 62.327 69.101 73.975
182732.jpg 79.054 62.327 69.101 73.975
182733.jpg 51.804 62.327 69.101 73.975
182734.jpg 69.877 62.327 69.101 73.975
182735.jpg 55.142 62.327 69.101 73.975
182736.jpg 68.856 62.327 69.101 73.975
182737.jpg 63.068 62.327 69.101 73.975
182738.jpg 69.085 62.327 69.101 73.975
182739.jpg 42.264 62.327 69.101 73.975
182740.jpg 59.47 62.327 69.101 73.975
182741.jpg 58.52 62.327 69.101 73.975
182742.jpg 48.68 62.327 69.101 73.975
182743.jpg 78.571 62.327 69.101 73.975
182744.jpg 47.991 62.327 69.101 73.975
182745.jpg 44.766 62.327 69.101 73.975
182746.jpg 62.886 62.327 69.101 73.975
182747.jpg 61.725 62.327 69.101 73.975
182748.jpg 38.282 62.327 69.101 73.975
182749.jpg 55.117 62.327 69.101 73.975
182750.jpg 55.29 62.327 69.101 73.975
182751.jpg 60.098 62.327 69.101 73.975
182752.jpg 62.497 62.327 69.101 73.975
182753.jpg 66.173 62.327 69.101 73.975
182754.jpg 68.04 62.327 69.101 73.975
182755.jpg 67.267 62.327 69.101 73.975
182756.jpg 71.746 62.327 69.101 73.975
182757.jpg 70.331 62.327 69.101 73.975
182758.jpg 66.267 62.327 69.101 73.975
182759.jpg -2 -99 -99 -99
182760.jpg 58.168 62.327 69.101 73.975
182761.jpg 64.63 62.327 69.101 73.975
182762.jpg 70.749 62.327 69.101 73.975
182763.jpg 47.889 62.327 69.101 73.975
182764.jpg 75.602 62.327 69.101 73.975
182765.jpg 73.365 62.327 69.101 73.975
182766.jpg 53.619 62.327 69.101 73.975
182767.jpg 67.989 62.327 69.101 73.975
182768.jpg 53.407 62.327 69.101 73.975
182769.jpg 59.841 62.327 69.101 73.975
182770.jpg -2 -99 -99 -99
182771.jpg 63.955 62.327 69.101 73.975
182772.jpg 59.76 62.327 69.101 73.975
182773.jpg 70.589 62.327 69.101 73.975
182774.jpg 65.396 62.327 69.101 73.975
182775.jpg 57.615 62.327 69.101 73.975
182776.jpg 33.828 62.327 69.101 73.975
182777.jpg 62.927 62.327 69.101 73.975
182778.jpg 59.461 62.327 69.101 73.975
182779.jpg 54.914 62.327 69.101 73.975
182780.jpg 65.446 62.327 69.101 73.975
182781.jpg 62.857 62.327 69.101 73.975
182782.jpg 54.483 62.327 69.101 73.975
182783.jpg 59.04 62.327 69.101 73.975
182784.jpg 58.489 62.327 69.101 73.975
182785.jpg 53.492 62.327 69.101 73.975
182786.jpg 40.575 62.327 69.101 73.975
182787.jpg 60.338 62.327 69.101 73.975
182788.jpg 52.333 62.327 69.101 73.975
182789.jpg 75.076 62.327 69.101 73.975
182790.jpg 56.593 62.327 69.101 73.975
182791.jpg 73.703 62.327 69.101 73.975
182792.jpg 77.855 62.327 69.101 73.975
182793.jpg 68.56 62.327 69.101 73.975
182794.jpg 55.89 62.327 69.101 73.975
182795.jpg 58.787 62.327 69.101 73.975
182796.jpg 42.256 62.327 69.101 73.975
182797.jpg 74.366 62.327 69.101 73.975
182798.jpg 76.671 62.327 69.101 73.975
182799.jpg 50.601 62.327 69.101 73.975
182800.jpg 57.075 62.327 69.101 73.975
182801.jpg 42.269 62.327 69.101 73.975
182802.jpg 66.317 62.327 69.101 73.975
182803.jpg 58.013 62.327 69.101 73.975
182804.jpg 53.522 62.327 69.101 73.975
182805.jpg 59.508 62.327 69.101 73.975
182806.jpg 62.653 62.327 69.101 73.975
182807.jpg 59.961 62.327 69.101 73.975
182808.jpg 62.947 62.327 69.101 73.975
182809.jpg 59.453 62.327 69.101 73.975
182810.jpg 41.292 62.327 69.101 73.975
182811.jpg 59.769 62.327 69.101 73.975
182812.jpg 59.49 62.327 69.101 73.975
182813.jpg 53.902 62.327 69.101 73.975
182814.jpg 57.711 62.327 69.101 73.975
182815.jpg 70.78 62.327 69.101 73.975
182816.jpg 57.114 62.327 69.101 73.975
182817.jpg 69.284 62.327 69.101 73.975
182818.jpg 66.864 62.327 69.101 73.975
182819.jpg 61.638 62.327 69.101 73.975
182820.jpg 71.405 62.327 69.101 73.975
182821.jpg 66.792 62.327 69.101 73.975
182822.jpg 76.517 62.327 69.101 73.975
182823.jpg 65.316 62.327 69.101 73.975
182824.jpg 64.811 62.327 69.101 73.975
182825.jpg 33.778 62.327 69.101 73.975
182826.jpg 66.178 62.327 69.101 73.975
182827.jpg 40.213 62.327 69.101 73.975
182828.jpg 45.147 62.327 69.101 73.975
182829.jpg 46.289 62.327 69.101 73.975
182830.jpg 53.186 62.327 69.101 73.975
182831.jpg 55.686 62.327 69.101 73.975
182832.jpg 58.142 62.327 69.101 73.975
182833.jpg 72.104 62.327 69.101 73.975
182834.jpg 61.729 62.327 69.101 73.975
182835.jpg 55.485 62.327 69.101 73.975
182836.jpg 55.798 62.327 69.101 73.975
182837.jpg 55.983 62.327 69.101 73.975
182838.jpg 71.452 62.327 69.101 73.975
182839.jpg 66.81 62.327 69.101 73.975
182840.jpg 46.806 62.327 69.101 73.975
182841.jpg 59.036 62.327 69.101 73.975
182842.jpg 70.141 62.327 69.101 73.975
182843.jpg 58.847 62.327 69.101 73.975
182844.jpg 59.887 62.327 69.101 73.975
182845.jpg 58.375 62.327 69.101 73.975
182846.jpg 44.352 62.327 69.101 73.975
182847.jpg 57.069 62.327 69.101 73.975
182848.jpg 77.911 62.327 69.101 73.975
