name confidence threshold0 threshold1 threshold2
182638.jpg 58.78 62.327 69.101 73.975
182639.jpg 51.027 62.327 69.101 73.975
182640.jpg 53.584 62.327 69.101 73.975
182641.jpg 69.015 62.327 69.101 73.975
182642.jpg 34.548 62.327 69.101 73.975
182643.jpg 47.012 62.327 69.101 73.975
182644.jpg 51.769 62.327 69.101 73.975
182645.jpg 66.039 62.327 69.101 73.975
182646.jpg 43.623 62.327 69.101 73.975
182647.jpg 66.74 62.327 69.101 73.975
182648.jpg -2 -99 -99 -99
182649.jpg 46.16 62.327 69.101 73.975
182650.jpg 59.924 62.327 69.101 73.975
182651.jpg 64.339 62.327 69.101 73.975
182652.jpg 53.394 62.327 69.101 73.975
182653.jpg 54.99 62.327 69.101 73.975
182654.jpg 61.577 62.327 69.101 73.975
182655.jpg 70.731 62.327 69.101 73.975
182656.jpg 71.958 62.327 69.101 73.975
182657.jpg 59.927 62.327 69.101 73.975
182658.jpg 48.314 62.327 69.101 73.975
182659.jpg 61.651 62.327 69.101 73.975
182660.jpg 69.932 62.327 69.101 73.975
182661.jpg 63.192 62.327 69.101 73.975
182662.jpg 49.69 62.327 69.101 73.975
182663.jpg 50.476 62.327 69.101 73.975
182664.jpg 45.246 62.327 69.101 73.975
182665.jpg 39.633 62.327 69.101 73.975
182666.jpg 64.57 62.327 69.101 73.975
182667.jpg 63.965 62.327 69.101 73.975
182668.jpg 59.214 62.327 69.101 73.975
182669.jpg 57.845 62.327 69.101 73.975
182670.jpg 71.417 62.327 69.101 73.975
182671.jpg 58.195 62.327 69.101 73.975
182672.jpg 58.812 62.327 69.101 73.975
182673.jpg 51.664 62.327 69.101 73.975
182674.jpg 63.782 62.327 69.101 73.975
182675.jpg 39.799 62.327 69.101 73.975
182676.jpg 50.388 62.327 69.101 73.975
182677.jpg 49.142 62.327 69.101 73.975
182678.jpg 68.415 62.327 69.101 73.975
182679.jpg 69.427 62.327 69.101 73.975
182680.jpg 49.188 62.327 69.101 73.975
182681.jpg 38.234 62.327 69.101 73.975
182682.jpg 53.217 62.327 69.101 73.975
182683.jpg 68.455 62.327 69.101 73.975
182684.jpg 64.283 62.327 69.101 73.975
182685.jpg 42.222 62.327 69.101 73.975
182686.jpg 72.646 62.327 69.101 73.975
182687.jpg 61.122 62.327 69.101 73.975
182688.jpg 68.084 62.327 69.101 73.975
182689.jpg 63.976 62.327 69.101 73.975
182690.jpg 57.651 62.327 69.101 73.975
182691.jpg 66.931 62.327 69.101 73.975
182692.jpg 65.128 62.327 69.101 73.975
182693.jpg 55.947 62.327 69.101 73.975
182694.jpg 45.664 62.327 69.101 73.975
182695.jpg 67.698 62.327 69.101 73.975
182696.jpg 66.877 62.327 69.101 73.975
182697.jpg 68.705 62.327 69.101 73.975
182698.jpg 43.38 62.327 69.101 73.975
182699.jpg 52.786 62.327 69.101 73.975
182700.jpg 32.453 62.327 69.101 73.975
182701.jpg 67.323 62.327 69.101 73.975
182702.jpg 50.946 62.327 69.101 73.975
182703.jpg 42.917 62.327 69.101 73.975
182704.jpg 55.751 62.327 69.101 73.975
182705.jpg 77.675 62.327 69.101 73.975
182706.jpg 63.267 62.327 69.101 73.975
182707.jpg 51.129 62.327 69.101 73.975
182708.jpg 62.455 62.327 69.101 73.975
182709.jpg 66.678 62.327 69.101 73.975
182710.jpg 69.588 62.327 69.101 73.975
182711.jpg 58.263 62.327 69.101 73.975
182712.jpg 61.235 62.327 69.101 73.975
182713.jpg 69.769 62.327 69.101 73.975
182714.jpg 49.852 62.327 69.101 73.975
182715.jpg 54.922 62.327 69.101 73.975
182716.jpg 51.565 62.327 69.101 73.975
182717.jpg 55.957 62.327 69.101 73.975
182718.jpg 52.45 62.327 69.101 73.975
182719.jpg 48.686 62.327 69.101 73.975
182720.jpg 51.679 62.327 69.101 73.975
182721.jpg 63.183 62.327 69.101 73.975
182722.jpg 69.818 62.327 69.101 73.975
182723.jpg 54.945 62.327 69.101 73.975
182724.jpg 66.568 62.327 69.101 73.975
182725.jpg 38.813 62.327 69.101 73.975
182726.jpg 40.41 62.327 69.101 73.975
182727.jpg 57.526 62.327 69.101 73.975
182728.jpg 73.592 62.327 69.101 73.975
182729.jpg 68.907 62.327 69.101 73.975
182730.jpg 63.813 62.327 69.101 73.975
182731.jpg 47.951 62.327 69.101 73.975
182732.jpg 77.198 62.327 69.101 73.975
182733.jpg 45.136 62.327 69.101 73.975
182734.jpg 57.868 62.327 69.101 73.975
182735.jpg 44 62.327 69.101 73.975
182736.jpg 75.262 62.327 69.101 73.975
182737.jpg 55.798 62.327 69.101 73.975
182738.jpg 68.3 62.327 69.101 73.975
182739.jpg 39.967 62.327 69.101 73.975
182740.jpg 57.815 62.327 69.101 73.975
182741.jpg 63.28 62.327 69.101 73.975
182742.jpg 61.447 62.327 69.101 73.975
182743.jpg 60.324 62.327 69.101 73.975
182744.jpg 58.906 62.327 69.101 73.975
182745.jpg 42.112 62.327 69.101 73.975
182746.jpg 48.961 62.327 69.101 73.975
182747.jpg 61.812 62.327 69.101 73.975
182748.jpg 29.237 62.327 69.101 73.975
182749.jpg 30.284 62.327 69.101 73.975
182750.jpg 52.972 62.327 69.101 73.975
182751.jpg 59.963 62.327 69.101 73.975
182752.jpg 65.885 62.327 69.101 73.975
182753.jpg 62.869 62.327 69.101 73.975
182754.jpg 71.632 62.327 69.101 73.975
182755.jpg 61.531 62.327 69.101 73.975
182756.jpg 74.29 62.327 69.101 73.975
182757.jpg 67.736 62.327 69.101 73.975
182758.jpg 65.597 62.327 69.101 73.975
182759.jpg -2 -99 -99 -99
182760.jpg 55.722 62.327 69.101 73.975
182761.jpg 57.147 62.327 69.101 73.975
182762.jpg 70.259 62.327 69.101 73.975
182763.jpg 49.158 62.327 69.101 73.975
182764.jpg 70.065 62.327 69.101 73.975
182765.jpg 58.997 62.327 69.101 73.975
182766.jpg 47.814 62.327 69.101 73.975
182767.jpg 68.225 62.327 69.101 73.975
182768.jpg 61.146 62.327 69.101 73.975
182769.jpg 59.168 62.327 69.101 73.975
182770.jpg -2 -99 -99 -99
182771.jpg 73.611 62.327 69.101 73.975
182772.jpg 62.826 62.327 69.101 73.975
182773.jpg 55.903 62.327 69.101 73.975
182774.jpg 60.541 62.327 69.101 73.975
182775.jpg 66.419 62.327 69.101 73.975
182776.jpg 19.941 62.327 69.101 73.975
182777.jpg 66.306 62.327 69.101 73.975
182778.jpg 62.153 62.327 69.101 73.975
182779.jpg 50.975 62.327 69.101 73.975
182780.jpg 63.097 62.327 69.101 73.975
182781.jpg 63.603 62.327 69.101 73.975
182782.jpg 43.352 62.327 69.101 73.975
182783.jpg 54.939 62.327 69.101 73.975
182784.jpg 70.222 62.327 69.101 73.975
182785.jpg 53.9 62.327 69.101 73.975
182786.jpg 43.836 62.327 69.101 73.975
182787.jpg 58.109 62.327 69.101 73.975
182788.jpg 37.529 62.327 69.101 73.975
182789.jpg 77.177 62.327 69.101 73.975
182790.jpg 61.667 62.327 69.101 73.975
182791.jpg 54.525 62.327 69.101 73.975
182792.jpg 60.357 62.327 69.101 73.975
182793.jpg 58.289 62.327 69.101 73.975
182794.jpg 39.986 62.327 69.101 73.975
182795.jpg 62.553 62.327 69.101 73.975
