name confidence threshold0 threshold1 threshold2
182638.jpg 70.239 62.327 69.101 73.975
182639.jpg 65.943 62.327 69.101 73.975
182640.jpg 58.563 62.327 69.101 73.975
182641.jpg 75.319 62.327 69.101 73.975
182642.jpg 42.867 62.327 69.101 73.975
182643.jpg 52.345 62.327 69.101 73.975
182644.jpg 69.974 62.327 69.101 73.975
182645.jpg 54.587 62.327 69.101 73.975
182646.jpg 55.752 62.327 69.101 73.975
182647.jpg 76.899 62.327 69.101 73.975
182648.jpg -2 -99 -99 -99
182649.jpg 70.237 62.327 69.101 73.975
182650.jpg 66.435 62.327 69.101 73.975
182651.jpg 70.331 62.327 69.101 73.975
182652.jpg 63.829 62.327 69.101 73.975
182653.jpg 60.639 62.327 69.101 73.975
182654.jpg 79.597 62.327 69.101 73.975
182655.jpg 73.261 62.327 69.101 73.975
182656.jpg 61.539 62.327 69.101 73.975
182657.jpg 58.893 62.327 69.101 73.975
182658.jpg 72.753 62.327 69.101 73.975
182659.jpg 75.443 62.327 69.101 73.975
182660.jpg 75.841 62.327 69.101 73.975
182661.jpg 48.607 62.327 69.101 73.975
182662.jpg 50.603 62.327 69.101 73.975
182663.jpg 63.234 62.327 69.101 73.975
182664.jpg 65.178 62.327 69.101 73.975
182665.jpg 55.368 62.327 69.101 73.975
182666.jpg 70.335 62.327 69.101 73.975
182667.jpg 67.12 62.327 69.101 73.975
182668.jpg 70.851 62.327 69.101 73.975
182669.jpg 65.486 62.327 69.101 73.975
182670.jpg 82.008 62.327 69.101 73.975
182671.jpg 51.936 62.327 69.101 73.975
182672.jpg 77.223 62.327 69.101 73.975
182673.jpg 69.605 62.327 69.101 73.975
182674.jpg 72.476 62.327 69.101 73.975
182675.jpg 51.147 62.327 69.101 73.975
182676.jpg 48.114 62.327 69.101 73.975
182677.jpg 53.249 62.327 69.101 73.975
182678.jpg 83.455 62.327 69.101 73.975
182679.jpg 70.118 62.327 69.101 73.975
182680.jpg 55.415 62.327 69.101 73.975
182681.jpg 48.044 62.327 69.101 73.975
182682.jpg 75.28 62.327 69.101 73.975
182683.jpg 78.622 62.327 69.101 73.975
182684.jpg 60.612 62.327 69.101 73.975
182685.jpg 64.748 62.327 69.101 73.975
182686.jpg 62.64 62.327 69.101 73.975
