name confidence threshold0 threshold1 threshold2
182638.jpg 67.901 62.327 69.101 73.975
182639.jpg 50.981 62.327 69.101 73.975
182640.jpg 66.884 62.327 69.101 73.975
182641.jpg 77.332 62.327 69.101 73.975
182642.jpg 42.02 62.327 69.101 73.975
182643.jpg 39.313 62.327 69.101 73.975
182644.jpg 53.365 62.327 69.101 73.975
182645.jpg 52.141 62.327 69.101 73.975
182646.jpg 54.537 62.327 69.101 73.975
182647.jpg 74.971 62.327 69.101 73.975
182648.jpg -2 -99 -99 -99
182649.jpg 55.323 62.327 69.101 73.975
182650.jpg 65.598 62.327 69.101 73.975
182651.jpg 62.747 62.327 69.101 73.975
182652.jpg 57.623 62.327 69.101 73.975
182653.jpg 58.383 62.327 69.101 73.975
182654.jpg 67.839 62.327 69.101 73.975
182655.jpg 65.332 62.327 69.101 73.975
182656.jpg 59.749 62.327 69.101 73.975
182657.jpg 60.035 62.327 69.101 73.975
182658.jpg 65.314 62.327 69.101 73.975
182659.jpg 66.946 62.327 69.101 73.975
182660.jpg 71.984 62.327 69.101 73.975
182661.jpg 49.324 62.327 69.101 73.975
182662.jpg 55.49 62.327 69.101 73.975
182663.jpg 58.052 62.327 69.101 73.975
182664.jpg 51.61 62.327 69.101 73.975
182665.jpg 58.883 62.327 69.101 73.975
182666.jpg 65.512 62.327 69.101 73.975
182667.jpg 68.144 62.327 69.101 73.975
182668.jpg 67.891 62.327 69.101 73.975
182669.jpg 66.316 62.327 69.101 73.975
182670.jpg 73.67 62.327 69.101 73.975
182671.jpg 48.748 62.327 69.101 73.975
182672.jpg 73.564 62.327 69.101 73.975
182673.jpg 69.027 62.327 69.101 73.975
182674.jpg 64.301 62.327 69.101 73.975
182675.jpg 37.805 62.327 69.101 73.975
182676.jpg 44.294 62.327 69.101 73.975
182677.jpg 48.367 62.327 69.101 73.975
182678.jpg 82.174 62.327 69.101 73.975
182679.jpg 62.981 62.327 69.101 73.975
182680.jpg 58.416 62.327 69.101 73.975
182681.jpg 58.015 62.327 69.101 73.975
182682.jpg 72.423 62.327 69.101 73.975
182683.jpg 74.542 62.327 69.101 73.975
182684.jpg 62.347 62.327 69.101 73.975
182685.jpg 55.319 62.327 69.101 73.975
182686.jpg 63.006 62.327 69.101 73.975
182687.jpg 66.484 62.327 69.101 73.975
182688.jpg 66.215 62.327 69.101 73.975
182689.jpg 37.895 62.327 69.101 73.975
182690.jpg 79.605 62.327 69.101 73.975
182691.jpg 67.176 62.327 69.101 73.975
182692.jpg 70.933 62.327 69.101 73.975
182693.jpg 59.41 62.327 69.101 73.975
182694.jpg 76.047 62.327 69.101 73.975
182695.jpg 73.428 62.327 69.101 73.975
182696.jpg 62.658 62.327 69.101 73.975
182697.jpg 76.051 62.327 69.101 73.975
182698.jpg 43.54 62.327 69.101 73.975
182699.jpg 62.92 62.327 69.101 73.975
182700.jpg 42.825 62.327 69.101 73.975
182701.jpg 71.768 62.327 69.101 73.975
182702.jpg 64.814 62.327 69.101 73.975
182703.jpg 60.484 62.327 69.101 73.975
182704.jpg 64.533 62.327 69.101 73.975
182705.jpg 72.714 62.327 69.101 73.975
182706.jpg 78.141 62.327 69.101 73.975
182707.jpg 58.094 62.327 69.101 73.975
182708.jpg 56.383 62.327 69.101 73.975
182709.jpg 74.731 62.327 69.101 73.975
182710.jpg 79.742 62.327 69.101 73.975
182711.jpg 55.47 62.327 69.101 73.975
182712.jpg 58.479 62.327 69.101 73.975
182713.jpg 76.599 62.327 69.101 73.975
182714.jpg 58.864 62.327 69.101 73.975
182715.jpg 42.222 62.327 69.101 73.975
182716.jpg 42.167 62.327 69.101 73.975
