name confidence threshold0 threshold1 threshold2
182638.jpg 39.4 62.327 69.101 73.975
182639.jpg 48.83 62.327 69.101 73.975
182640.jpg 52.4 62.327 69.101 73.975
182641.jpg 62.435 62.327 69.101 73.975
182642.jpg 49.391 62.327 69.101 73.975
182643.jpg 35.935 62.327 69.101 73.975
182644.jpg 43.715 62.327 69.101 73.975
182645.jpg 54.024 62.327 69.101 73.975
182646.jpg 32.497 62.327 69.101 73.975
182647.jpg 46.605 62.327 69.101 73.975
182648.jpg -2 -99 -99 -99
182649.jpg 36.28 62.327 69.101 73.975
182650.jpg 47.903 62.327 69.101 73.975
182651.jpg 52.149 62.327 69.101 73.975
182652.jpg 47.959 62.327 69.101 73.975
182653.jpg 49.876 62.327 69.101 73.975
182654.jpg 59.084 62.327 69.101 73.975
182655.jpg 33.362 62.327 69.101 73.975
182656.jpg 65.883 62.327 69.101 73.975
182657.jpg 39.974 62.327 69.101 73.975
182658.jpg 49.744 62.327 69.101 73.975
182659.jpg 60.918 62.327 69.101 73.975
182660.jpg 53.172 62.327 69.101 73.975
182661.jpg 55.554 62.327 69.101 73.975
182662.jpg 60.418 62.327 69.101 73.975
182663.jpg 61.331 62.327 69.101 73.975
182664.jpg 48.514 62.327 69.101 73.975
182665.jpg 39.85 62.327 69.101 73.975
182666.jpg 36.133 62.327 69.101 73.975
182667.jpg 49.667 62.327 69.101 73.975
182668.jpg 60.633 62.327 69.101 73.975
182669.jpg 27.298 62.327 69.101 73.975
182670.jpg 53.961 62.327 69.101 73.975
182671.jpg 43.856 62.327 69.101 73.975
182672.jpg 40.901 62.327 69.101 73.975
182673.jpg 33.112 62.327 69.101 73.975
182674.jpg 52.432 62.327 69.101 73.975
182675.jpg 15.609 62.327 69.101 73.975
182676.jpg 15.765 62.327 69.101 73.975
182677.jpg 32.744 62.327 69.101 73.975
182678.jpg 62.379 62.327 69.101 73.975
182679.jpg 36.559 62.327 69.101 73.975
182680.jpg 36.781 62.327 69.101 73.975
182681.jpg 26.344 62.327 69.101 73.975
182682.jpg 49.771 62.327 69.101 73.975
182683.jpg 46.779 62.327 69.101 73.975
182684.jpg 47.945 62.327 69.101 73.975
182685.jpg 27.872 62.327 69.101 73.975
182686.jpg 35.894 62.327 69.101 73.975
182687.jpg 35.744 62.327 69.101 73.975
182688.jpg 59.219 62.327 69.101 73.975
182689.jpg 34.494 62.327 69.101 73.975
182690.jpg 52.94 62.327 69.101 73.975
182691.jpg 61.236 62.327 69.101 73.975
182692.jpg 54.057 62.327 69.101 73.975
182693.jpg 38.715 62.327 69.101 73.975
