name confidence threshold0 threshold1 threshold2
182638.jpg 62.739 62.327 69.101 73.975
182639.jpg 59.252 62.327 69.101 73.975
182640.jpg 70.904 62.327 69.101 73.975
182641.jpg 73.348 62.327 69.101 73.975
182642.jpg 40.252 62.327 69.101 73.975
182643.jpg 54.559 62.327 69.101 73.975
182644.jpg 59.84 62.327 69.101 73.975
182645.jpg 63.5 62.327 69.101 73.975
182646.jpg 52.858 62.327 69.101 73.975
182647.jpg 46.568 62.327 69.101 73.975
182648.jpg -2 -99 -99 -99
182649.jpg 36.744 62.327 69.101 73.975
182650.jpg 47.816 62.327 69.101 73.975
182651.jpg 64.339 62.327 69.101 73.975
182652.jpg 58.803 62.327 69.101 73.975
182653.jpg 42.371 62.327 69.101 73.975
182654.jpg 64.809 62.327 69.101 73.975
182655.jpg 54.997 62.327 69.101 73.975
182656.jpg 70.216 62.327 69.101 73.975
182657.jpg 52.348 62.327 69.101 73.975
182658.jpg 51.699 62.327 69.101 73.975
182659.jpg 74.18 62.327 69.101 73.975
182660.jpg 76.431 62.327 69.101 73.975
182661.jpg 55.24 62.327 69.101 73.975
182662.jpg 36.636 62.327 69.101 73.975
182663.jpg 66.048 62.327 69.101 73.975
182664.jpg 31.858 62.327 69.101 73.975
182665.jpg 45.583 62.327 69.101 73.975
182666.jpg 52.769 62.327 69.101 73.975
182667.jpg 66.81 62.327 69.101 73.975
182668.jpg 55.937 62.327 69.101 73.975
182669.jpg 48.798 62.327 69.101 73.975
182670.jpg 60.938 62.327 69.101 73.975
182671.jpg 34.263 62.327 69.101 73.975
182672.jpg 72.414 62.327 69.101 73.975
182673.jpg 38.904 62.327 69.101 73.975
182674.jpg 60.181 62.327 69.101 73.975
182675.jpg 13.279 62.327 69.101 73.975
182676.jpg 48.411 62.327 69.101 73.975
182677.jpg 33.502 62.327 69.101 73.975
182678.jpg 76.331 62.327 69.101 73.975
182679.jpg 60.537 62.327 69.101 73.975
182680.jpg 46.45 62.327 69.101 73.975
182681.jpg 52.991 62.327 69.101 73.975
182682.jpg 69.842 62.327 69.101 73.975
182683.jpg 62.12 62.327 69.101 73.975
182684.jpg 53.103 62.327 69.101 73.975
182685.jpg 60.628 62.327 69.101 73.975
182686.jpg 56.975 62.327 69.101 73.975
182687.jpg 43.189 62.327 69.101 73.975
182688.jpg 69.4 62.327 69.101 73.975
182689.jpg 42.072 62.327 69.101 73.975
182690.jpg 78.023 62.327 69.101 73.975
182691.jpg 55.169 62.327 69.101 73.975
182692.jpg 63.045 62.327 69.101 73.975
182693.jpg 53.654 62.327 69.101 73.975
182694.jpg 62.864 62.327 69.101 73.975
182695.jpg 61.777 62.327 69.101 73.975
182696.jpg 66.856 62.327 69.101 73.975
182697.jpg 68.385 62.327 69.101 73.975
182698.jpg 47.363 62.327 69.101 73.975
182699.jpg 78.345 62.327 69.101 73.975
182700.jpg 26.334 62.327 69.101 73.975
182701.jpg 59.524 62.327 69.101 73.975
182702.jpg 48.877 62.327 69.101 73.975
182703.jpg 70.14 62.327 69.101 73.975
182704.jpg 65.663 62.327 69.101 73.975
182705.jpg 77.897 62.327 69.101 73.975
182706.jpg 66.538 62.327 69.101 73.975
182707.jpg 46.079 62.327 69.101 73.975
182708.jpg 59.085 62.327 69.101 73.975
182709.jpg 72.025 62.327 69.101 73.975
182710.jpg 67.645 62.327 69.101 73.975
182711.jpg 55.823 62.327 69.101 73.975
182712.jpg 55.041 62.327 69.101 73.975
182713.jpg 78.821 62.327 69.101 73.975
182714.jpg 28.532 62.327 69.101 73.975
182715.jpg 50.458 62.327 69.101 73.975
182716.jpg 49.679 62.327 69.101 73.975
182717.jpg 59.577 62.327 69.101 73.975
182718.jpg 63.528 62.327 69.101 73.975
182719.jpg 48.715 62.327 69.101 73.975
